character	killed by	death	type	quest
<1> Tempered Odogaron	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 A Nasty Flesh Wound
<1> Tempered Pink Rathian	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★9 New World Sky, New World Flower
<1> Tempered Radobaan	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★9 Showdown: the Muck and the Maul
<1> Tempered Teostra	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★9 The Sapphire Star's Guidance
<1> Tempered Teostra	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Master Hunter of the New World
<1> Tempered Vaal Hazak	Hunter (MHWI) | Armory	Slain by the Hunter, contracted by the Armory		★9 A Summons from Below
<1> Tempered Velkhana	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Master Hunter of the New World
<1> Teostra	Hunter (MHWI) | Admiral	Slain by the Hunter, contracted by the Admiral		★8 The Fires of Hell Bite Deep
<1> Teostra	Hunter (MHWI) | Armory	Slain by the Hunter, contracted by the Armory		★8 A Blaze on the Sand
<1> Teostra	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★8 Hellfire's Stronghold
<1> Teostra	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★8 Infernal Monarchy
<1> Teostra	Hunter (MHWI) | Hotblooded Fourth	Slain by the Hunter, contracted by the Hotblooded Fourth		MR★5 Mark of the Sun
<1> Teostra	Hunter (MHWI) | Huntsman	Slain by the Hunter, contracted by the Huntsman		MR★5 Royal Audience on the Sand
<1> Tigrex	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Tigrex
<1> Tigrex	Hunter (MHWI) | Cheerful Scholar	Hunted by the Hunter, contracted by the Cheerful Scholar		MR★3 A Roar that Shook the Vale
<1> Tigrex	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader		MR★6 We Run This Town
<1> Tigrex	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Runnin', Rollin', and Weepin'
<1> Tobi-Kadachi	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★1 Special Arena: MR Tobi-Kadachi
<1> Tobi-Kadachi	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★3 Special Arena: Tobi-Kadachi
<1> Tobi-Kadachi	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Tobi-Kadachi
<1> Tobi-Kadachi	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 Beating Around the Bush
<1> Tobi-Kadachi	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★3 The Current Situation
<1> Tobi-Kadachi	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 A Hair-Raising Experience
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 All the Wrong Signals
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Say Cheese!
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Eccentric Trio	Hunted by the Hunter, contracted by the Eccentric Trio		★4 A Tzitzi for Science
<1> Uragaan	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Uragaan
<1> Uragaan	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Uragaan
<1> Uragaan	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★7 A Fiery Convergence
<1> Uragaan	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Begone Uragaan
<1> Uragaan	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Festival of Explosions!
<1> Uragaan	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler		★7 Ore-eating Occupier
<1> Vaal Hazak	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★8 Stirrings from the Grave
<1> Velkhana	Hunter (MHWI) | Analytics Director	Slain by the Hunter, contracted by the Analytics Director		MR★5 Clashing Swords Upon The Rime
<1> Viper Tobi-Kadachi	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Viper Tobi-Kadachi
<1> Viper Tobi-Kadachi	Hunter (MHWI) | Paralyzed Researcher	Hunted by the Hunter, contracted by the Paralyzed Researcher		MR★2 Analysis Creates Paralysis
<1> Xeno'jiiva	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★9 A Light Upon the River's Gloom
<1> Yian Garuga	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Yian Garuga
<1> Zinogre	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Zinogre
<1> Zinogre	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader		MR★6 We Run This Town
<20> Hornetaur	Hunter (MHWI) | Seliana Melder	Hunted by the Hunter, contracted by the Seliana Melder		MR★2 Bugger Off Bugs!
<2> Tzitzi-Ya-Ku	Hunter (MHWI) | Troupers	Hunted by the Hunter, contracted by the Troupers		★4 Troubled Troupers
<5> Barnos	Hunter (MHWI) | Daredevil Editor	Slain by the Hunter, contracted by the Daredevil Editor		★6 A Scalding Scoop
<5> Raphinos	Hunter (MHWI) | Armory	Slain by the Hunter, contracted by the Armory		★4 On Nightmare's Wings
<5> male Kestodons	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★1 Butting Heads with Nature
<7> Gajau	Hunter (MHWI) | Meowscular Chef	Slain by the Hunter, contracted by the Meowscular Chef		★2 The Pain from Gains
<7> Jagras	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★1 A Thicket of Thugs
<7> female Kestodons	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★1 Butting Heads with Nature
