character	killed by	death	type	loop
<5> Void Wasps	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	37
<4> Void Spiders	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (5236 - 2470(494*5) = 2766, 2766 - 1590(318*5) = 1176 XP gained, each one being worth 294 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<5> Void Scorpions	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (5236 - 2470(494*5) = 2766, 2766 - 1176(294*4) = 1590 XP gained, each one being worth 318 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Stabbed in the head by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<5> Void Wasps	Aidan Dar	Bodies broken with a wind attack by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Warrior	Aidan Dar	Cut through by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Wolf	Aidan Dar	Stabbed in the head by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<4> Undead Warriors or Undead Archers	Aidan Dar	Blown up with Blur Strike by Aidan Dar (34 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<2> Undead Wolves or Void Scorpions	Aidan Dar	Blown up with Blur Strike by Aidan Dar (318 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<2> Void Spiders	Aidan Dar	Blown up with Blur Strike by Aidan Dar (294 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<3> Void Wasps	Aidan Dar	Blown up with Blur Strike by Aidan Dar (494 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
Goren Shein	Goren Shein | Aidan Dar	Impaled himself on Aidan Dar's sword (reset by Goren Shein's Temporal Override)	undone	37
Stinger	Gaelith's Darkness | Erebus | Gaelith Alloraine	Impaled through the eye and devoured by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	37
Aric Kelltins	Gaelith's Darkness | Erebus | Gaelith Alloraine	Pierced through the chest and devoured by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	37
<1> Dark Hunter	Aidan Dar	Slashed with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<3> Dark Hunters	Aidan Dar	Incinerated with an oil flask and an ember flask by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Dark Hunter	Aidan Dar	Impaled and pinned to a wall with a glaive by Aidan (reset by Chronos via the Déjà Vu System)	undone	37
Aidan Dar	Aidan Dar	Stabbed himself in the throat (reset by Chronos via the Déjà Vu System)	undone	37

<10> Undead Warriors	Aidan Dar	Slain by Aidan Dar (340 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	38
<321> Undead Warriors or Undead Archers	Aidan Dar	Slain by Aidan Dar during his first 38 loops (500 mentioned minus the 179 already counted) (reset by Chronos via the Déjà Vu System)	undone	1-38
<4> Grave Moles	Aidan Dar	Shredded with a wind attack by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<27> Grave Moles	Aidan Dar	Slain by Aidan Dar during his first 38 loops (31 mentioned minus the 4 just counted) (reset by Chronos via the Déjà Vu System)	undone	1-38
<5> Undead Wolves	Aidan Dar	Dispatched with precises strikes by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<3> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<5> Undead Wolves	Aidan Dar	Finished off with Blade Rush by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
Pack Leader	Aidan Dar	Stabbed deep in the chest by Aidan Dar		38
<1> Void Centipede	Aidan Dar	Body sliced through by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
Diona, Priestess of Axul	Erebus	Bled out from a stomach wound inflicted by a Void Centipede summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	38
<3+> Void Centipedes	Aidan Dar	Slain using Blur Strike by Aidan Dar (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	38
<3+> Grave Moles	Aidan Dar	Slain using Blur Strike by Aidan Dar (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	38
Aidan Dar	Erebus	Torn to pieces by Void Centipedes and Grave Moles summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	38
<4> Grave Moles	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	38
Luke Hargreaves	High Priestess of Axul | Erebus	Struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
Fiona	High Priestess of Axul | Erebus	Struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
Jax of Belenia	High Priestess of Axul | Erebus	Struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
Aidan Dar	Aidan Dar | High Priestess of Axul | Erebus	Let himself be struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
Goren Shein	Razor Basilisk | Erebus	Slain by the Razor Basilisk summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38

{15} Aidan Dar	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (reset by Chronos via the Déjà Vu System)	undone	39-53
Boomspite Goblin	Aidan Dar	Slain by Aidan Dar at some point during loops 39 to 54		39-54

<1> Void Spider	Aidan Dar	Sliced through by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	54
<1> Razor Serpent	Aidan Dar	Speared through the eye by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	54
<98> Razor Serpents	Aidan Dar	Slain by Aidan Dar during his first 54 loops (100 mentioned, minus the 2 already counted) (reset by Chronos via the Déjà Vu System)	undone	1-54
Aidan Dar	Erebus	Ripped to shreds by Void Centipedes summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	54

<35> Undead Warriors	Aidan Dar	Slain by Aidan Dar (1190 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	55
<11> Void Spiders	Aidan Dar	Dispatched with swift attacks by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	55
<65> Priestesses of Axul	Aidan Dar	Put down by Aidan Dar on their own request		55
Razor Basilisk	Razor Basilisk | Aidan Dar	Put down by Aidan Dar on its own request		55
Aidan Dar	Goren Shein | Aidan Dar	Stabbed through the heart with a dagger by Goren Shein on his own request (reset by Aidan Dar's Checkpoint)	undone	55
<460> Void Spiders	Aidan Dar	Slain by Aidan Dar during his first 55 loops (501 mentioned, minus the 41 already counted) (reset by Chronos via the Déjà Vu System)	undone	1-55
Goren Shein	High Priestess of Axul	Frozen and shattered into icicles by the High Priestess of Axul (reset by Chronos via the Déjà Vu System)	undone	55
Aidan Dar	High Priestess of Axul	Frozen and shattered into icicles by the High Priestess of Axul (reset by Chronos via the Déjà Vu System)	undone	55

<50> Undead Warriors	Aidan Dar	Slain by Aidan Dar (1700 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	56
<3+> monsters	Aidan Dar | Goren Shein | Gaelith of Tepan	Slain by Aidan Dar, Goren Shein and Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	56
High Priestess of Axul	Aidan Dar	Stabbed with a glaive by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	56
Aidan Dar	Gaelith of Tepan | Aidan Dar	Impaled through the chest with a sword by Gaelith of Tepan on his own request (reset by Aidan Dar's Checkpoint)	undone	56
High Priestess of Axul	Aidan Dar | Gaelith of Tepan	Stabbed deep into her back by Aidan Dar while held by Gaelith of Tepan		56
Aidan Dar	Goren Shein | Aidan Dar	Murdered by Goren Shein on his own request (reset by Chronos via the Déjà Vu System)	undone	56

<3+> Dark Hunters	Aidan Dar | Goren Shein	Cut through by Aidan Dar and Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
Aidan Dar	Goren Shein | Aidan Dar	Stabbed in the chest by Goren Shein on his own request (reset by Aidan Dar's Checkpoint)	undone	57
<1> Blood Wraith	Aidan Dar	Sliced in half by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<1> Blood Wraith	Goren Shein	Stabbed in the back by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<1> Blood Wraith	Aidan Dar	Slashed with a diagonal sweep by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<2> Blood Wraiths	Aidan Dar	Sliced through with a wind attack by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<3> Blood Wraiths	Goren Shein	Stabbed with daggers by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<2> Blood Wraiths	Aidan Dar	Slashed with a glaive by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<24+> Blood Wraiths	Aidan Dar | Goren Shein	Cut down by Aidan Dar and Goren Shein (dozens mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
<3+> Void Spiders	Goren Shein	Shredded through by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<1> Grave Mole	Right Hand of Darkness | Erebus	Obliterated by the Right Hand of Darkness summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	57
<3+> Void monsters	Right Hand of Darkness | Erebus	Obliterated by the Right Hand of Darkness summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
Goren Shein	Goren Shein | Right Hand of Darkness | Erebus	Sacrificed himself to help Aidan, fatally wounded while fighting the Right Hand of Darkness summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	57
Aidan Dar	Erebus | Dolos	Bled out after being impaled with tendrils by Erebus and having the Millennium Prison explode in his hands due to Dolos' tempering (reset by Chronos via the Déjà Vu System)	undone	57

{5} Aidan Dar	Erebus	Murdered by Erebus during several loops (reset by Chronos via the Déjà Vu System)	undone	58 to 62
{5} Goren Shein	Erebus	Murdered by Erebus during several loops (reset by Chronos via the Déjà Vu System)	undone	58 to 62
all other 98 adventurers dead in those loops (and all other loops ?)

Aidan Dar	Aidan Dar	Slit his own throat (reset by Chronos via the Déjà Vu System)	undone	63

Goren Shein	Aidan Dar | Themis | Chronos | Dolos | Goren Shein	Stabbed in the chest by Aidan Dar during a duel overseen by Themis and set up by Chronos and Dolos, orchestrated by himself (revived as his assistant by Chronos)	revived	64
Aidan Dar	Right Hand of Darkness | Erebus	Cleaved in half by the Right Hand of Darkness summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	64

<100+> Void monsters	Aidan Dar	Sliced through with a wind arc by Aidan Dar (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
<3+> Void monsters	Aidan Dar	Obliterated with magical arrows by Aidan Dar (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
Right Hand of Darkness	Aidan Dar	Sliced into millions of pieces by Aidan Dar		65
Left Hand of Darkness	Aidan Dar	Sliced into millions of pieces by Aidan Dar		65
<2,000+> Void monsters	Aidan Dar	Slain by Aidan Dar (thousands mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
Gaelith of Tepan	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Gaelith's Darkness	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Erebus	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Yana	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Jax of Belenia	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Henry	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Waylan	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Fiona	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Aidan Dar	Chronos | Aidan Dar	Murdered by Chronos on his own request (reset by Chronos via the Déjà Vu System)	undone	65

Erebus	Aidan Dar | Erebus | Chronos	Disappeared after letting himself be absorbed via the Millennium Prison by Aidan Dar on orders from Chronos (remains alive as an immortal god)	revived	66


