character	killed by	death	type	run
<10,000+> Ionar inhabitants	Simon's doppelgänger	Perished in a volcano eruption caused by Simon's doppelgänger (count taken from run 43) (reset by the Pit)	undone	36
<4> fire elementals	Simon	Extinguished with an ice sword by Simon (reset by the Pit)	undone	36
Simon	Brogan | Helades	Incinerated in molten lava by Brogan, sent in the Pit by Helades (reset by the Pit)	undone	36

<2> trouts	Simon	Fished and gutted by Simon (reset by the Pit)	undone	37
<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	37
King Brin's Brother	Simon	Struck by lightning cast by Simon (reset by the Pit)	undone	37
<1> guard	Simon	Struck by lightning cast by Simon (reset by the Pit)	undone	37
<2> guards	Nedden	Murdered by goblins, left to die by Nedden (reset by the Pit)	undone	37
Nedden	Baron Corwin	Hanged on orders from Baron Corwin (reset by the Pit)	undone	37
<29+> goblins	Simon | Baron Corwin	Smoked out of their cave by Simon or already slain by one of Baron Corwin's men (previously known count from run 32) (reset by the Pit)	undone	37
King Brin		Died of an illness (reset by the Pit)	undone	37
Earl Greyden	Simon	Slain with words of power by Simon (reset by the Pit)	undone	37
<3+> Earl Greyden's men	Simon	Slain with words of power by Simon (several mentioned) (reset by the Pit)	undone	37
Baron Corwin	Earl Greyden	Shot with several crossbow bolts in an ambush setup by Earl Greyden (reset by the Pit)	undone	37
<4> other barons	Earl Greyden	Shot with several crossbow bolts in an ambush setup by Earl Greyden (5 mentioned minus Baron Corwin) (reset by the Pit)	undone	37
<4> other barons' bodyguards	Earl Greyden	Shot with several crossbow bolts in an ambush setup by Earl Greyden (5 mentioned minus Simon) (reset by the Pit)	undone	37
Simon	Earl Greyden | Helades	Impaled through the liver with a sword by one of Earl Greyden's men, sent in the Pit by Helades (reset by the Pit)	undone	37

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	38
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	38
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	38
<1> mountain goat	Simon	Pushed off a mountain and throat slit by Simon (reset by the Pit)	undone	38
<8> goblins	Gregor Corwin III | Simon | Baron Corwin	Slain by Gregor Corwin III and Simon, on orders from Baron Corwin (reset by the Pit)	undone	38
<24+> goblins	Simon | Baron Corwin	Suffocated via smoke inhalation in their cave due to Simon's fire on orders from Baron Corwin (dozens mentioned) (reset by the Pit)	undone	38
King Brin		Died of an illness (reset by the Pit)	undone	38
King Brin's Son	King Brin's Brother	Assassinated on orders from King Brin's Brother (reset by the Pit)	undone	38
<3+> defenders	Simon	Blown up through shards and flinders by Simon's word of power (reset by the Pit)	undone	38
<1> man	Simon	Drowned after being shoved in a moat by Simon (reset by the Pit)	undone	38
<1> man	Simon	Stabbed in the throat with a dagger by Simon (reset by the Pit)	undone	38
<4> men	Simon	Split apart by a swung drawbridge chain broken by Simon (reset by the Pit)	undone	38
Simon	King Brin's Brother | Helades	Covered in molten tar and put out of his misery by King Brin's Brother's men, sent in the Pit by Helades (reset by the Pit)	undone	38

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	39
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	39
<6> goblins	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	39
<1> goblin	Simon	Crushed underneath his boots by Simon (reset by the Pit)	undone	39
<1> goblin	Simon	Skull stabbed with a dagger by Simon (reset by the Pit)	undone	39
<1> goblin	Simon	Face burned with a torch by Simon (reset by the Pit)	undone	39
<10+> goblins	Simon	Slain with words of power by Simon (previously known count, minus already counted) (reset by the Pit)	undone	39
<12+> goblins	Baron Corwin	Slain by one of Baron Corwin's men (dozen mentioned) (reset by the Pit)	undone	39
<4> goblins	Simon	Slaughtered by Simon (reset by the Pit)	undone	39
Trinna's husband		Died from unknown causes (reset by the Pit)	undone	39
Simon	Helades	Kicked on the side of the head by a skittish mule, sent in the Pit by Helades (reset by the Pit)	undone	39

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	40
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	40
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	40
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	40
<1> carrion crawler	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	40
<10,000+> Ionar inhabitants	Simon's doppelgänger	Perished in a volcano eruption caused by Simon's doppelgänger (count taken from run 43) (reset by the Pit)	undone	40
<1> owlbear	Simon	Shot in the back of the head with an arrow by Simon (reset by the Pit)	undone	40
<1> owlbear	Simon	Struck by lightning cast by Simon (reset by the Pit)	undone	40
<6+> people		Mauled by an owlbear (previously known count) (reset by the Pit)	undone	40
<2> horses		Mauled by an owlbear (previously known count) (reset by the Pit)	undone	40
Andronican	Andronican | Simon	Died of old age due to overuse of words of power while fighting Simon (reset by the Pit)	undone	40
King Wilden Brin I		Died of natural causes (reset by the Pit)	undone	40
King Wilden Brin II		Presumably died of natural causes (reset by the Pit)	undone	40
Eddek		Murdered in a noble's intrigue (reset by the Pit)	undone	40
<1> guard	Kaylee	Murdered by servants in a plot orchestrated by Kaylee (reset by the Pit)	undone	40
<3+> guards	Kaylee	Murdered by servants in a plot orchestrated by Kaylee (several mentioned) (reset by the Pit)	undone	40
<3+> nobles	Kaylee	Incinerated in a plot orchestrated by Kaylee (several mentioned) (reset by the Pit)	undone	40
<1> servant	Simon	Throat slit by Simon (reset by the Pit)	undone	40
<1> servant	Simon	Run through the chest with a sword by Simon (reset by the Pit)	undone	40
<1> servant	Simon	Struck on the head with an axe by Simon (reset by the Pit)	undone	40
<1> servant	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	40
<1> servant	Simon	Impaled with a sword and pushed by Simon (reset by the Pit)	undone	40
Captain Darnis		Died of the Weeping Pox (reset by the Pit)	undone	40
Saul		Died of the Weeping Pox (reset by the Pit)	undone	40
<3+> Sea Seraph crewmates		Died of the Weeping Pox (several mentioned) (reset by the Pit)	undone	40
<9+> people		Murdered by giant spiders (several mentioned several times) (reset by the Pit)	undone	40
<1> giant spider	Simon	Sliced in half with a cutlass by Simon (reset by the Pit)	undone	40
<24+> giant spiders	Simon	Incinerated with a word of power by Simon (dozens mentioned) (reset by the Pit)	undone	40
<1> black swarmer	Simon	Swatted with a piece of firewood by Simon (reset by the Pit)	undone	40
<20,000+> black swarmers	Simon	Drained of their lifeforce with a word of power by Simon (tens of thousands mentioned) (reset by the Pit)	undone	40
<3+> men		Murdered by centaurs in a raid (several mentioned) (reset by the Pit)	undone	40
<3+> women		Murdered by centaurs in a raid (several mentioned) (reset by the Pit)	undone	40
<3+> children		Murdered by centaurs in a raid (several mentioned) (reset by the Pit)	undone	40
Baron Raithewait		Died from unknown causes, succeeded by his son Varten (reset by the Pit)	undone	40
Varten Raithewait	Simon	Beheaded with a word of power by Simon (reset by the Pit)	undone	40
<3+> Varten Raithewait's men	Simon	Beheaded with a word of power by Simon (several mentioned) (reset by the Pit)	undone	40
Erik Raithewait		Died under mysterious circumstances (reset by the Pit)	undone	40
<1> guard	Murphy Dreser	Crushed against the paving stones of a square by Murphy Dreser as a werewolf (reset by the Pit)	undone	40
Murphy Dreser	Simon	Struck in the heart with a silver coin by Simon (reset by the Pit)	undone	40
<2+> family members		Murdered by centaurs in a raid (plural) (reset by the Pit)	undone	40
<1> woman		Murdered by centaurs in a raid (reset by the Pit)	undone	40
<36+> family members		Murdered by centaurs in a raid (dozen families mentioned) (reset by the Pit)	undone	40
<3+> people		Chopped into pieces (reset by the Pit)	undone	40
<1> Aganian	Torrin	Beheaded with a blade by Torrin (reset by the Pit)	undone	40
<1> Unspoken	Simon	Stabbed in the throat by Simon (reset by the Pit)	undone	40
<1> Unspoken	Simon	Taken down by Simon (reset by the Pit)	undone	40
Benna		Died of the blood sickness (reset by the Pit)	undone	40
Aaric's other sister		Died of the blood sickness (reset by the Pit)	undone	40
<1> ogre	Simon	Stabbed through the eye with a sword by Simon (reset by the Pit)	undone	40
<3+> people		Devoured by an ogre (several mentioned) (reset by the Pit)	undone	40
<3+> monsters	Anias	Slain by Anias (several mentioned) (reset by the Pit)	undone	40
<1> dragon	Anias	Slain by Anias (reset by the Pit)	undone	40
<1> innkeeper	Icefang	Incinerated by Icefang (reset by the Pit)	undone	40
<3+> villagers	Icefang	Incinerated by Icefang (several mentioned) (reset by the Pit)	undone	40
Simon	Icefang | Helades	Incinerated by Icefang, sent in the Pit by Helades (reset by the Pit)	undone	40

<1> fish	Simon	Fished and cooked by Simon (reset by the Pit)	undone	41
<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	41
<6+> goblins	Simon	Head sliced off with a word of power by Simon (several mentioned twice) (reset by the Pit)	undone	41
<5+> bats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	41
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	41
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	41
<1> carrion crawler	Simon	Electrocuted with a word of power by Simon (reset by the Pit)	undone	41
<10,000+> Ionar inhabitants	Simon's doppelgänger	Perished in a volcano eruption caused by Simon's doppelgänger (count taken from run 43) (reset by the Pit)	undone	41
<3+> spirits	Simon	Incinerated with a word of power by Simon (several mentioned) (reset by the Pit)	undone	41
<1> widow		Murdered by spirits while visiting her husband's grave (reset by the Pit)	undone	41
<1> widow's husband		Died from unknown causes and buried in a graveyard (reset by the Pit)	undone	41
<3+> people	Blackheart	Murdered by Blackheart (several mentioned) (reset by the Pit)	undone	41
{3} Blackheart		Slain by witch hunters three times and revived himself each time (reset by the Pit)	undone	41
Blackheart		Executed by witch hunters who cut open his heart, buried in a graveyard, eventually dug out and burned to ashes (reset by the Pit)	undone	41
<1> goblin	Simon	Head smashed by Simon (reset by the Pit)	undone	41
<3+> goblins	Simon	Shot in the head with arrows by Simon (several mentioned) (reset by the Pit)	undone	41
<2> servants	Simon	Cut down with a sword by Simon (reset by the Pit)	undone	41
<1> servant	Simon	Blew himself up with a word of power while fighting Simon (reset by the Pit)	undone	41
Eddek		Murdered in a noble's intrigue (reset by the Pit)	undone	41
<3+> guards	Kaylee	Incinerated with a word of power by Kaylee (several mentioned) (reset by the Pit)	undone	41
<3+> fish	Simon	Fished and cooked by Simon (several mentioned) (reset by the Pit)	undone	41
<3+> plants	Simon	Purged with saltwater by Simon (several mentioned) (reset by the Pit)	undone	41
<3+> large blossoms	Simon	Purged with saltwater by Simon (several mentioned) (reset by the Pit)	undone	41
<1> main plant	Simon	Purged with saltwater by Simon (reset by the Pit)	undone	41
<1> plump hare	Simon	Shot with a pebble by Simon (reset by the Pit)	undone	41
Captain Darnis		Died of the Weeping Pox (reset by the Pit)	undone	41
<1> spider god	Simon	Crushed in a cavern cave-in caused by Simon (reset by the Pit)	undone	41
<24+> spiders	Simon	Crushed in a cavern cave-in caused by Simon (dozens mentioned) (reset by the Pit)	undone	41
<3+> goblins		Murdered by giant spiders (several mentioned) (reset by the Pit)	undone	41
<9+> people		Murdered by giant spiders (previously known count) (reset by the Pit)	undone	41
Simon	Simon | Helades	Succumbed to deprivation while stuck in a cave he collapsed, sent in the Pit by Helades (reset by the Pit)	undone	41

<6+> rats	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	42
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	42
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	42
Riggs		Throat ripped out by a zombie (reset by the Pit)	undone	42
<36+> zombies	Simon | Kel | Frey | Hodge | Garth	Put down by Simon and the Butcher's Bill members (3 dozens mentioned) (reset by the Pit)	undone	42
<3> zombies	Simon | Kel | Frey | Hodge | Garth	Put down by Simon and the Butcher's Bill members (reset by the Pit)	undone	42
<3+> zombies	Simon | Kel | Frey | Hodge | Garth	Put down by Simon and the Butcher's Bill members (several mentioned) (reset by the Pit)	undone	42
Kel	Kel | Simon's doppelgänger	Buried in a collapsing tomb when he accidentally triggered a trap left by Simon's doppelgänger (reset by the Pit)	undone	42
<20+> centaurs	Simon	Cut in half with an invisible sword by Simon (count mentioned) (reset by the Pit)	undone	42
<30+> men		Murdered by the centaurs (every ten mentioned) (reset by the Pit)	undone	42
<60+> centaurs and gnolls	Simon	Slaughtered each other while being incinerated with a word of power and shot with arrows by Simon (count mentioned) (reset by the Pit)	undone	42
<100+> centaur warriors	Simon	Slain by Simon (hundred mentioned) (reset by the Pit)	undone	42
<118> centaur warriors	Simon | Bret | Jak	Slain by Simon and his band (reset by the Pit)	undone	42
<54> colts	Simon | Bret | Jak	Slain by Simon and his band (reset by the Pit)	undone	42
<36+> mares	Simon | Bret | Jak	Slain by Simon and his band (3 dozens mentioned) (reset by the Pit)	undone	42
Baron Raithewait		Died from unknown causes, succeeded by his son Varten (reset by the Pit)	undone	42
Varten Raithewait	Simon	Stabbed through the chest with a longsword by Simon (reset by the Pit)	undone	42
<50+> centaur warriors	Simon | Bret | Jak	Shot with crossbow bolts by Simon and his band (half of a hundred mentioned) (reset by the Pit)	undone	42
<1,000+> centaurs	Simon | Bret | Jak	Slain by Simon and his band during his second campaign as the Regent-General of the Raithewait Barony (reset by the Pit)	undone	42
<5> condemned men	Simon	Hanged at the gallows on orders from Simon (reset by the Pit)	undone	42
<1> minor lord	Simon	Hanged on orders from Simon (reset by the Pit)	undone	42
<3> orcs	Simon | Bret | Jak	Slain by Simon and his band (reset by the Pit)	undone	42
<3> orcs	Simon | Bret | Jak	Peppered with crossbow bolts by Simon and his band (reset by the Pit)	undone	42
<2> men		Struck with lightning by an orc shaman (reset by the Pit)	undone	42
<1> orc shaman	Simon	Struck with a lightning word of power by Simon (reset by the Pit)	undone	42
<5+> orcs	Simon	Struck with a lightning word of power by Simon (half of 10 mentioned) (reset by the Pit)	undone	42
<1> orc hunter	Simon | Bret | Jak	Slain by Simon and his band (reset by the Pit)	undone	42
Varten Raithewait II		Died of a sickness (reset by the Pit)	undone	42
Simon	Helades	Garrotted by a messenger party sent by the King, sent in the Pit by Helades (reset by the Pit)	undone	42

<1> snake	Simon	Beheaded by Simon (reset by the Pit)	undone	43
<2+> fat trouts	Simon	Fished and cooked by Simon (plural) (reset by the Pit)	undone	43
Brul	Simon	Bisected with a word of power by Simon (reset by the Pit)	undone	43
<15+> goblins	Simon	Slain by Simon (30 ears mentioned) (reset by the Pit)	undone	43
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	43
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	43
<1> sun-dried zombie	Simon	Struck down with a sword by Simon (reset by the Pit)	undone	43
<3+> zombies	Simon	Slain by Simon (several mentioned) (reset by the Pit)	undone	43
<6+> Butcher's Bill members		Murdered by zombies (dozen minus 5 survivors and Kel) (reset by the Pit)	undone	43
Kel		Bitten and turned into a zombie (reset by the Pit)	undead | undone	43
Kel	Garth | Simon	Put down by the Butcher's Bill members on orders from Simon (reset by the Pit)	undone	43
Frey	Kel | Simon	Bitten by Kel and eventually turned into a vampire via Simon's use of words of power (reset by the Pit)	undead | undone	43
Hodge		Bitten and turned into a zombie (reset by the Pit)	undead | undone	43
Hodge	Garth | Simon	Put down with several sword stabs by the Butcher's Bill members on orders from Simon (reset by the Pit)	undone	43
<1> chicken	Simon	Drained of its lifeforce using a word of power by Simon (reset by the Pit)	undone	43
<1> chicken	Simon	Hunted and cooked by Simon (reset by the Pit)	undone	43
<3+> zombies	Simon	Put down by Simon (several mentioned) (reset by the Pit)	undone	43
<3> zombies	Daisy	Kicked in the head by Daisy (reset by the Pit)	undone	43
<1> zombie	Simon	Head bashed in by Simon (reset by the Pit)	undone	43
<3+> zombies	Simon	Put down by Simon (several mentioned) (reset by the Pit)	undone	43
<3+> bandits	Simon	Murdered by Simon (several mentioned) (reset by the Pit)	undone	43
<2+> beast men	Simon	Slain by Simon (plural) (reset by the Pit)	undone	43
<1,000+> goblins	Simon	Slain during his first 43 runs by Simon (count mentioned) (reset by the Pit)	undone	1-43
<1> assassin	Simon	Brained with a candle stick by Simon (reset by the Pit)	undone	43
<1> assassin	Simon	Beheaded with a force word of power by Simon (reset by the Pit)	undone	43
<1> zombie	Simon	Put down by Simon (reset by the Pit)	undone	43
<3+> villagers		Devoured by the black swarmers (several mentioned) (reset by the Pit)	undone	43
<2,000+> black swarmers		Perished after their attack (thousands mentioned) (reset by the Pit)	undone	43
<12+> Unspoken	Simon	Sliced into pieces with a force word of power by Simon (dozen mentioned) (reset by the Pit)	undone	43
<1> Unspoken	Simon	Shot with arrows by Simon (reset by the Pit)	undone	43
<24+> dragons	Anias	Slain by Anias in his lifetime (dozens mentioned) (reset by the Pit)	undone	43
<1> innkeeper	Icefang	Incinerated by Icefang (reset by the Pit)	undone	43
<3+> villagers	Icefang	Incinerated by Icefang (several mentioned) (reset by the Pit)	undone	43
Icefang	Anias	Slain by Anias and his group (reset by the Pit)	undone	43
<1> archer	Simon	Struck with a lightning word of power by Simon (reset by the Pit)	undone	43
<5+> archers and warriors	Simon	Struck with lightning words of power or stabbed with a sword by Simon (dozen mentioned, minus others and Trenton) (reset by the Pit)	undone	43
<1> warrior	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	43
<1> swordsman	Simon	Hand cut off and impaled through the head with a sword by Simon (reset by the Pit)	undone	43
Trenton	Simon	Cut in half from clavicle to groin with a sword by Simon (reset by the Pit)	undone	43
<2> men	Simon	Incinerated with a fire word of power by Simon (reset by the Pit)	undone	43
<1> fleeing man	Simon	Struck with a lightning word of power by Simon (reset by the Pit)	undone	43
Simon	Hidaran | Freya | Helades	Throat ripped out and blood drained by Hidaran, led by Freya, sent in the Pit by Helades (reset by the Pit)	undone	43

<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	44
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	44
<1> undead	Simon	Put down with a mace by Simon (reset by the Pit)	undone	44
<3+> undead	Simon	Put down with a mace by Simon (several mentioned) (reset by the Pit)	undone	44
<1> rabbit	Simon	Hunted and cooked by Simon (reset by the Pit)	undone	44
<1> fish	Simon	Hunted and cooked by Simon (reset by the Pit)	undone	44
Malen		Blown up and dragged into hell while reading a trapped book (reset by the Pit)	undone	44
Shroud		Blown up and dragged into hell while reading a trapped book (reset by the Pit)	undone	44
<1> sentry	Simon	Pushed off a thirty feet wall by Simon (reset by the Pit)	undone	44
<3+> Unspoken white cloaks	Simon	Incinerated within the Broken Tower by Simon (several mentioned) (reset by the Pit)	undone	44
<3+> Unspoken archivists	Simon	Incinerated within the Broken Tower by Simon (several mentioned) (reset by the Pit)	undone	44
<3+> Unspoken craftsmen	Simon	Incinerated within the Broken Tower by Simon (several mentioned) (reset by the Pit)	undone	44
Simon	Simon | Helades	Incinerated himself alongside the Unspoken within the Broken Tower, sent in the Pit by Helades (reset by the Pit)	undone	44

<1> goblin	Simon	Slain using a word of lesser death by Simon (reset by the Pit)	undone	45
<3+> animals	Simon	Hunted by Simon (several mentioned) (reset by the Pit)	undone	45
<3+> fish	Simon	Fished by Simon (several mentioned) (reset by the Pit)	undone	45
<3+> goblins	Simon	Slain by Simon (several mentioned) (reset by the Pit)	undone	45
<1> goblin shaman	Simon	Shot with a crossbow by Simon (reset by the Pit)	undone	45
<2+> goblins	Simon	Shot with a crossbow by Simon (plural) (reset by the Pit)	undone	45
<6+> goblins	Simon	Slain with a sword by Simon (count mentioned) (reset by the Pit)	undone	45
<30+> skeletons	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	45
<1> skeleton knight	Simon	Slain by Simon (previously known count) (reset by the Pit)	undone	45
<1> man		Murdered and carried away by the wyvern (reset by the Pit)	undone	45
<2+> other men		Slaughtered by the wyvern (plural) (reset by the Pit)	undone	45
<2> horses		Slaughtered by the wyvern (reset by the Pit)	undone	45
<1> soldier	Simon	Shot in the eye with an arrow by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Beheaded with a word of power by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Impaled through the chest with a sword by Simon (reset by the Pit)	undone	45
<25+> soldiers	Simon	Cut down by Simon and his rebellion (half of 50 mentioned) (reset by the Pit)	undone	45
<1> soldier	Viscount Bracken | Simon	Impaled with a sword by Viscount Bracken, via manipulation by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Throat slit with a sword by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Impaled through the armpit with a sword by Simon (reset by the Pit)	undone	45
<2> beastmen	Simon	Slain with a sword by Simon (reset by the Pit)	undone	45
<6> beastmen	Simon	Blasted with a word of power by Simon (reset by the Pit)	undone	45
<24+> beastmen	Simon	Slain by Simon (same amount as previous fight, 8, several times) (reset by the Pit)	undone	45
<3+> men		Murdered and used as altar decorations by beastmen (several mentioned) (reset by the Pit)	undone	45
<3+> goblins		Murdered and used as altar decorations by beastmen (several mentioned) (reset by the Pit)	undone	45
<1> harpy		Murdered and used as altar decoration by beastmen (reset by the Pit)	undone	45
<4> bandits	Simon	Slashed and stabbed with a dagger by Simon (reset by the Pit)	undone	45
<2+> chickens	Simon	Life drained with a word of power by Simon (plural) (reset by the Pit)	undone	45
<2+> goats	Simon	Life drained with a word of power by Simon (plural) (reset by the Pit)	undone	45
<1> beatsman	Simon	Slain by Simon (reset by the Pit)	undone	45
<1> beatsman	Simon	Lifeforce drained using a dagger imbued with a word of power by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Cervical vertebrae shattered with a sword and lifeforce drained with a dagger by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Throat slit and lifeforce drained with a dagger by Simon (reset by the Pit)	undone	45
Philip	Simon	Throat slit and lifeforce drained with a dagger by Simon (reset by the Pit)	undone	45
Leo	Simon	Throat slit and lifeforce drained with a dagger by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Beheaded with a sword by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Stabbed through the heart with a sword by Simon (reset by the Pit)	undone	45
<1> soldier	Simon	Stabbed through the back with a sword by Simon (reset by the Pit)	undone	45
<1> warlock		Stabbed through the neck with a sword by a soldier (reset by the Pit)	undone	45
<3> soldiers		Incinerated with a word of power by a warlock with death-activated words of power (reset by the Pit)	undone	45
<1> Queen's guard		Murdered by Murani soldiers in a coup (reset by the Pit)	undone	45
<1> Murani soldier	Simon	Impaled through the throat with a sword by Simon (reset by the Pit)	undone	45
<1> Murani soldier	Simon	Disemboweled with a sword by Simon (reset by the Pit)	undone	45
<1> Murani soldier	Simon	Stabbed in the throat and lifeforce drained with a dagger by Simon (reset by the Pit)	undone	45
<1> Murani soldier	Simon	Slashed in the neck with a sword by Simon (reset by the Pit)	undone	45
<2> Murani soldiers	Simon	Impaled with a sword by Simon (reset by the Pit)	undone	45
<1> Murani warlock	Simon	Struck with a lightning word of power by Simon (reset by the Pit)	undone	45
<2+> Murani soldiers	Simon	Struck with a lightning word of power by Simon (plural) (reset by the Pit)	undone	45
<24+> Murani soldiers	Simon	Blown up by a Murani warlock's death-activated words of power triggered by Simon killing him (dozens mentioned) (reset by the Pit)	undone	45
<1> Murani warlock	Simon	Struck with a lightning word of power by Simon (reset by the Pit)	undone	45
<2+> Murani soldiers	Simon	Cleaved through with a sword by Simon (plural) (reset by the Pit)	undone	45
<20> Murani soldiers	Simon	Cut apart with a word of power by Simon (reset by the Pit)	undone	45
<1> Murani soldier	Simon	Cut down by Simon (reset by the Pit)	undone	45
<3+> Murani soldiers	Simon	Struck with a lightning word of power by Simon, deflected by a Murani warlock (several mentioned) (reset by the Pit)	undone	45
<1> Murani warlock	Simon	Incinerated with a word of power by Simon (reset by the Pit)	undone	45
<1> Murani young soldier	Simon	Cut down by Simon (reset by the Pit)	undone	45
<40+> Murani soldiers	Simon	Slain using lightning and fire words of power by Simon (scores mentioned) (reset by the Pit)	undone	45
<200+> Murani soldiers	Simon	Slain by Simon (hundreds mentioned) (reset by the Pit)	undone	45
Simon	Simon | Helades	Died of old age and/or exhaustion after using decades of his life through words of power, sent in the Pit by Helades (reset by the Pit)	undone	45

<1> goblin	Simon	Drained of its lifeforce by Simon
<10+> goblins	Simon	Slaughtered and drained by Simon (several packs of 3 or 4)
<3+> goblins	Simon	Slaughtered in an ambush and drained by Simon (several mentioned)
<1> goblin shaman	Simon	Beheaded and drained by Simon
<30+> skeletons	Simon	Slain by Simon (previously known count)
<1> skeleton knight	Simon	Slain by Simon (previously known count)
Anias	Icefang | Simon	Head and shoulders devoured by Icefang when Simon exposed Anias to him
<50+> caravan men	Icefang | Simon	Incinerated and devoured by Icefang when Simon exposed them to him (count taken from run 40)
<24+> horses and oxen	Icefang | Simon	Incinerated and devoured by Icefang when Simon exposed them to him (dozens mentioned)
Hidaran	Simon	Impaled with two wooden stakes by Simon
<1> guard	Simon	Stabbed in the trachea with a sword by Simon
<4+> men	Simon	Shot with a lightning arrow by Simon (minimum counted)
<1> man	Simon	Shot in the neck with an arrow by Simon
<4> men	Simon	Cut down by Simon
<8> men	Simon	Shot with a lightning arrow by Simon
<2+> men	Simon	Crushed by doors shattered by Simon (plural)
<2+> prisoners		Blood drained by vampires
Gavarall	Simon	Staked in the heart by Simon
Prince	Simon	Staked in the heart by Simon
Simon	Freya | Helades	Turned into a vampire when Freya forcefully fed him her blood, sent in the Pit by Helades (reset by the Pit)	undead | undone	46
<2+> victims	Freya	Drained of their blood by Freya (plural)
<3+> victims	Freya	Devoured by Freya in front of Simon (several mentioned)
Emma and Ara's father	Freya	Slaughtered by Freya in front of his daughters
Emma and Ara's mother	Freya	Slaughtered by Freya in front of her daughters
<1> guard	Simon	Neck bitten and blood drained by Simon
<1> guard	Simon	Stabbed in the throat with a sword by Simon
<1> guard	Simon	Devoured by Simon
<1> guard	Simon	Eliminated and devoured by Simon
<2> prisoners	Simon | Ara | Freya	Devoured by Simon, fed to him by Ara, led by Freya
Emma		Died of old age
Ara	Freya	Turned into a vampire by Freya	undead
<3+> handsome men	Freya	Murdered and devoured by Freya (several mentioned)
<3+> Unspoken	Freya	Devoured by Freya (several mentioned)
<4> prisoners	Simon | Ara | Freya	Ripped to pieces and devoured by Simon, fed to him by Ara, led by Freya
<1> soldier	Simon | Ara | Freya	Drained of his blood by Simon on orders from Ara, led by Freya
<1> soldier	Simon | Ara | Freya	Stabbed in the throat by Simon on orders from Ara, led by Freya
<1> soldier	Simon | Ara | Freya	Neck snapped by Simon on orders from Ara, led by Freya
<1> warlock	Simon | Ara | Freya	Throat ripped out by Simon on orders from Ara, led by Freya
<3+> soldiers	Simon | Ara | Freya	Incinerated by their warlock's death-activated word of power triggered by Simon on orders from Ara, led by Freya (several mentioned)
<1> soldier	Simon | Ara | Freya	Stabbed in the eyes by Simon on orders from Ara, led by Freya
<1> soldier	Simon | Ara | Freya	Stabbed in the guts by Simon on orders from Ara, led by Freya
<3+> soldiers	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya (several mentioned)
<1> captain	Simon | Ara | Freya	Slaughtered by Simon on orders from Ara, led by Freya
<3+> survivors	Simon | Ara | Freya	Hunted down and drained by Simon on orders from Ara, led by Freya (several mentioned)
<24+> goblins	Simon	Slaughtered and drained by Simon (dozens mentioned)
<1> scout	Simon | Ara | Freya	Neck snapped and torn to pieces by Simon on orders from Ara, led by Freya
<24+> soldiers	Simon | Ara | Freya	Crushed with an avalanche of rocks triggered by Simon on orders from Ara, led by Freya (dozens mentioned)
<1> grizzly bear	Simon	Stabbed in the spine and drained of its blood by Simon
