character	killed by	death	type	loop
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	84
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	85
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	86
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	87
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	9
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	90
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	91
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	93
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	94
<5> chameleon drakes	Zach Noveda	Slaughtered by Zach Noveda	clone	104
<5> war trolls	Zach Noveda	Crushed with thrown chunks of pavement by Zach Noveda	clone	93
<6+> Skeleton Pirates skeletons	Zorian Kazinski	Thrown overboard by Zorian Kazinski (two groups mentioned)	clone	94
<6+> hook goblins	Zorian Kazinski	Slain by Ibasan mages as part of Zorian Kazinski's plan (3 waves mentioned)	clone	102
<6+> invaders	Alanic Zosk	Incinerated with a firebird by Alanic Zosk (2 groups mentioned)	clone	93
<6+> winter wolves	Zach Noveda	Shot with magic missiles by Zach Noveda (minimum counted)	clone	9
<6,750,000,000+> Altazia inhabitants	Panaxeth	Erased alongside the copied world by Panaxeth (population of at least 50 millions stated by author, 50 millions times 135 loops)	clone	1 to 135
<600+> iron beaks	Alanic Zosk | Zorian Kazinski	Blown up by an Eldemarian war golem during the Battle for Iasku Mansion led by Alanic Zosk and Zorian Kazinski (hundreds mentioned several times)	clone	91
<7> mages	Zorian Kazinski | Vatimah Tinc	Killed when Zorian Kazinski disrupted the ritual to free the Primordial performed by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
<8> iron beaks	Taiven	Shot down with magic missiles by Taiven	clone	46
<9+> Cult of the World Dragon investigation group members	Spear of Resolve Striking Straight at the Heart of the Matter	Assassinated on orders from Spear of Resolve Striking Straight at the Heart of the Matter (3 groups mentioned)	clone	56
<9+> sulrothum guards	Zach Noveda | Zorian Kazinski | Storm Dream	Incinerated with fireballs by Zach Noveda, Zorian Kazinski and the aranea mercenaries they hired, including Storm Dream (several mentioned several times)	clone	127
<9> soldiers		Slain by Ibasan forces (15 mentioned, minus 6 survivors)	clone	103
Alanic Zosk	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Alanic Zosk	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei	clone	121
Alanic Zosk	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei	clone	67
Alanic Zosk	Vazen | Sudomir Kandrei	Assassinated in his sleep on orders from Vazen, orchestrated by Sudomir Kandrei	clone	60
Aldwin Rofoltin		Passed away from natural causes		
Awan-Temti Khumbastir		Died from unknown causes		
Daimen Kazinski	Daimen Kazinski	Used his own lifeforce to stabilize the time loop's exit	clone	133
Enthusiastic Seeker of Novelty	Red Robe	Soulkilled by Red Robe	clone	56
Fang of Victory	Red Robe	Soulkilled by Red Robe	clone	56
Fert Oroklo		Presumably died of natural causes		
Fria Tverinov		Died during the Weeping Plague		
Goliri Ardat	Princess	Bitten in half by Princess	clone	103
Ilsa Zileti	Panaxeth	Drilled through with light beams by the Guardian of the Threshold controlled by Panaxeth	clone	133
Isek Kalko		Vaporized in an explosion alongside a royal palace by an unknown group		
Kael Tverinov	Panaxeth	Drilled through with light beams by the Guardian of the Threshold controlled by Panaxeth	clone	133
Kael Tverinov's mother		Died in childbirth		
Kana Tverinov	Panaxeth	Drilled through with light beams by the Guardian of the Threshold controlled by Panaxeth	clone	133
Kirma	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Kyron	Panaxeth	Cleaved in half with a clawed hand by Panaxeth	clone	133
Lukav Teklo	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Lukav Teklo	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei	clone	121
Lukav Teklo	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei	clone	67
Lukav Teklo	Sudomir Kandrei	Torn apart by a pack of undead boars, orchestrated by Sudomir Kandrei	clone	60
Manani Weshekari		Presumably perished during a deep Dungeon expedition		
Namira Tverinov		Died during the Weeping Plague		
Night Dream	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Nochka Sashal	Zorian Kazinski | Vatimah Tinc	Killed when Zorian Kazinski disrupted the ritual to free the Primordial performed by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
Nora Boole	Panaxeth	Drilled through with light beams by the Guardian of the Threshold controlled by Panaxeth	clone	133
Oganj	Zach Noveda	Slain by Zach Noveda	clone	39
Orissa Siqi Taramatula	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Princess	Daimen Kazinski | Orissa Siqi Taramatula | Kirma | Torun | Chassanah | Goliri Ardat | Alachi Gotrum | Zorian Kazinski | Zach Noveda	Fatally wounded as a combined effort of Daimen Kazinski's group, Zorian Kazinski and Zach Noveda	clone	103
Princess	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda	clone	127
Quatach-Ichl	Quatach-Ichl	Blew himself up as he detonated his own soul	clone	120
Rea Sashal	Vatimah Tinc	Fatally wounded while defending Nochka by giant centipedes controlled by the Cult of the World Dragon, led by Vatimah Tinc	clone	83
Rea Sashal	Vatimah Tinc	Presumably assassinated while defending Nochka by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
Red Robe	Panaxeth | Red Robe	Body perished when he was removed from the time loop by Panaxeth on his own request at some point between loops 58 and 92	clone	58 to 92
Red Robe	Panaxeth | Zorian Kazinski	Copied version torn apart and collapsed into goo via Panaxeth's death pact, due to Zorian Kazinski preventing him from fulfilling its terms	clone	final
Red Robe	Red Robe	Simulacrum sent to assassinate Zach and dismissed himself once he failed	clone	final
Red Robe	Zorian Kazinski	Simulacrum destroyed by one of Zorian Kazinski's Simulacrums	clone	final
Red Robe	Zorian Kazinski	Simulacrum torn through with lances by the human mercenaries hired by Zorian Kazinski	clone	56
Sakelus Arexino		Shot via gunfire during the Splinter Wars		
Sauh Sashal	Vatimah Tinc	Fatally wounded while defending Nochka by giant centipedes controlled by the Cult of the World Dragon, led by Vatimah Tinc	clone	83
Sauh Sashal	Vatimah Tinc	Presumably assassinated while defending Nochka by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
Sherden-Anixua Zenich	Oganj	Murdered in an ambush by Oganj		
Shutur-Tarana Ihilkush		Presumably died of natural causes		
Silverlake	Panaxeth | Silverlake	Body perished when she was removed from the time loop by Panaxeth on her own request	clone	133
Silverlake	Zorian Kazinski | Silverlake	Copied version liquefied and devoured by a grey hunter she was trapped with by Zorian Kazinski and her original self	clone	final
Spear of Resolve Striking Straight at the Heart of the Matter	Red Robe	Soulkilled by Red Robe	clone	56
Sudomir Kandrei's wife		Died during the Weeping Plague		
Taiven	Panaxeth	Bled out after being fatally wounded by Panaxeth	clone	133
Taiven	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Decapitated by a war troll during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc in one of the restarts	clone	129 to 132
Torun	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Veyers Boranova	Red Robe	Soulkilled by Red Robe at some point before loop 92	clone	1 to 92
Veyers Boranova's father		Died during the Splinter Wars or the Weeping Plague		
Watchful Eyes That Miss Nothing of Importance	Red Robe	Soulkilled by Red Robe	clone	56
Xvim Chao	Panaxeth	Presumably murdered or erased by Panaxeth after Zorian exited the loop	clone	133
Xvim Chao	Xvim Chao | Vatimah Tinc	Shielded Zorian with his body and hit by a yellow beam sent by a member of the Cult of the World Dragon, led by Vatimah Tinc	clone	93
Zach Noveda		Body damaged by unknown causes, reset triggered via Zorian's Marker	clone	92
Zach Noveda		Died from unknown causes before the end of the month	clone	61
Zach Noveda		Simulacrum created to assault the Ziggurat of the Sun and murdered by the sulrothum	clone	120
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	15
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	16
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	25
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	26
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	37
Zach Noveda	Oganj	Killed in a fight against Oganj	clone	38
Zach Noveda	Panaxeth	Presumably murdered by Panaxeth after Zorian exited the loop	clone	133
Zach Noveda	Quatach-Ichl	Impaled and then soul mutilated with Soul Meld by Quatach-Ichl	clone	1
Zach Noveda	Zach Noveda	Simulacrum created to assault the Ziggurat of the Sun and eventually dispelled by the original	clone	120
Zach Noveda	Zorian Kazinski | Vatimah Tinc	Killed when Zorian Kazinski disrupted the ritual to free the Primordial performed by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
Zoltan House Heir	Zorian Kazinski	Incinerated with a beam spell by Zorian Kazinski	clone	56
Zorian Kazinski		Body damaged by unknown causes, reset triggered via his own Marker	clone	92
Zorian Kazinski		Head devoured by a giant brown worm	clone	9
Zorian Kazinski		Murdered by an Eye Beast	clone	66
Zorian Kazinski		Simulacrum created to assault the Ziggurat of the Sun and murdered by the sulrothum	clone	120
Zorian Kazinski		Simulacrum destroyed by spatial cracks while casting a dimensionalism spell on the globe	clone	133
Zorian Kazinski		Simulacrum mangled beyond repair by a grey hunter	clone	112
Zorian Kazinski		Simulacrum torn through with a volley of spells sent by Ibasan mages	clone	103
Zorian Kazinski	Panaxeth	Impaled through the chest with a bony spike by Panaxeth (survived as a disembodied soul, later regaining a body)	physical | revived	133
Zorian Kazinski	Quatach-Ichl	Blasted in the face with a jagged red disintegration beam by Quatach-Ichl	clone	84
Zorian Kazinski	Quatach-Ichl	Shot with a jagged red beam, presumably by Quatach-Ichl	clone	46
Zorian Kazinski	Quatach-Ichl	Wounded via an explosion's shrapnel and then soul mutilated with Soul Meld by Quatach-Ichl	clone	1
Zorian Kazinski	Vatimah Tinc	Stabbed in the chest multiple times by an assassin presumably sent by Vatimah Tinc	clone	3
Zorian Kazinski	Zorian Kazinski	Blew himself up with an explosive ring while being mentally assaulted by the Sword Divers	clone	67
Zorian Kazinski	Zorian Kazinski	Simulacrum created to assault the Ziggurat of the Sun and eventually dispelled by the original	clone	120
Zorian Kazinski	Zorian Kazinski	Simulacrum created to have a talk with Haslush and dispelled by the original	clone	final
Zorian Kazinski	Zorian Kazinski	Simulacrum created to paint telepathy nodes on Cyoria's walls and eventually dispelled by the original	clone	final
Zorian Kazinski	Zorian Kazinski	Simulacrum created to study Zach's contract and eventually dispelled by the original	clone	final
Zorian Kazinski	Zorian Kazinski	Simulacrum dissolved himself into smoke after the grey hunter's death	clone	95 to 100
Zorian Kazinski	Zorian Kazinski	Simulacrum left in Cyoria and eventually dispelled by the original	clone	103
Zorian Kazinski	Zorian Kazinski	Simulacrum left in Eldemar and eventually dispelled by the original	clone	120
Zorian Kazinski	Zorian Kazinski	Simulacrum left in the Taramatula estate and eventually dispelled by the original	clone	103
Zorian Kazinski	Zorian Kazinski	Simulacrum made to create a prototype cannon and eventually dispelled by the original	clone	112
Zorian Kazinski	Zorian Kazinski	Simulacrum made to work on mental enhancements and eventually dispelled by the original	clone	112
Zorian Kazinski	Zorian Kazinski	Simulacrum sent mapping the local underworld and dispelled by the original	clone	95 to 100
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone	102
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone	103
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone	104
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone	112
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone	127
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to arrange a trade deal with a minor expert and eventually dispelled by the original	clone	112
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to arrange a trade deal with araneas and dispelled by the original	clone	95 to 100
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to dispatch cephalic rat swarms and eventually dispelled by the original	clone	128
Zorian Kazinski	Zorian Kazinski	Simulacrum sent to raid the Academy library and eventually dispelled by the original	clone	112
Zorian Kazinski	Zorian Kazinski	Soul murdered by his time loop self when he possessed his own body and forcefully ejected his original soul (time loop copy remains alive within the body)	clone	final
Zorian Kazinski	Zorian Kazinski | Red Robe	Blew himself up while falling to his death due to being chased by Red Robe	clone	57
Zorian Kazinski	Zorian Kazinski | Vatimah Tinc	Killed when he disrupted the ritual to free the Primordial performed by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
{10+} Zach Noveda	Oganj	Killed in a fight against Oganj (Zorian predicts after loop 21 that Zach would die another 15 times, says he died way more than that, minus the 5 already counted loops)	clone	27 to 36
{111} Taiven	Panaxeth	Erased alongside the copied world by Panaxeth (120 loops minus 4 deaths and 5 temporary loops)	clone	16 to 135, except 22 to 24, one between 129 and 132, 133, and 128 to 132 as a temporary looper
{117} Oran Skarna	Panaxeth	Erased alongside the copied world by Panaxeth (120 loops minus 3 deaths)	clone	16 to 135, except 22 to 24
{117} Urik Kreshna	Panaxeth	Erased alongside the copied world by Panaxeth (120 loops minus 3 deaths)	clone	16 to 135, except 22 to 24
{128} Xvim Chao	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 2 deaths and 5 temporary loops)	clone	1 to 135 except 93, 133, and 128 to 132 as a temporary looper
{129} Daimen Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135, except 133, and 128 to 132 as a temporary looper
{129} Ilsa Zileti	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135, except 133, and 128 to 132 as a temporary looper
{129} Kael Tverinov	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Kirma	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Kyron	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Night Dream	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Nora Boole	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Oganj	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135, except 39
{129} Orissa Siqi Taramatula	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Silverlake	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{129} Torun	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death and 5 temporary loops)	clone	1 to 135 except 133, and 128 to 132 as a temporary looper
{133} Princess	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 2 deaths)	clone	1 to 135, except 103, 127
{133} Rea Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 2 deaths)	clone	1 to 135, except 83, 93
{133} Sauh Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 2 deaths)	clone	1 to 135, except 83, 93
{134} Goliri Ardat	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135 except 103
{134} Kana Tverinov	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135 except 133
{134} Nochka Sashal	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135, except 93
{134} Quatach-Ichl	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135, except 120
{134} Zoltan House Heir	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops minus 1 death)	clone	1 to 135, except 56
{135} Akoja Stroze	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Alachi Gotrum	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Andir Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Andoril Boranova	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Aneka Ashirai	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Anixa Pravoski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Aread	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Armie Ashirai	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Azlyn Marivoski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Batak	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Benisek	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Briam	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Bridge of Moonlight Connecting Ten Thousand Shores	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Buzzkill	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Byrn Ivarin	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Carabiera Aope	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Chassanah	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Cikan Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Circle of Fortune and Golden Dust	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Edwin	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Elayer Inid	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Elsie	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Estin Grier	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Fortov Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Frozen Thoughts Spanning Across Bottomless Chasms	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ghost	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ghost Serpent	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Glittering River of Stars	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Gurey Cwili	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Hammerer	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Haslush Ikzeteri	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ibak	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ibery Ambercomb	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ilinim Kam	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Imaya Kuroshka	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Iroro	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Jade Witelsin	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Jornak Dokochin	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kalan	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kiana	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kilnfather	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kirielle Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kirithishli Korisova	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kopriva Reid	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Krantin Keklos	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Kylae Kuosi	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Marvelous Geode	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Maya	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Memory of Sublime Glories	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Mind Like Fire	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Naim	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Neoluma-Manu Iljatir	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Nirthak	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Orinus	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Raynie	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Refuge in Void	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Seeker of the Eight Universal Paths	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} She Who Eats Fire and Sees Gold	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Silver One	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Stonechild	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Storm Dream	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Sudomir Kandrei	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Tesen Zveri	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Tinami Aope	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Ulanna Taramatula	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Vani	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Vatimah Tinc	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Vazen	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Veil	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Violeteye	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Voice of Peace	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{135} Zenomir Olgai	Panaxeth	Erased alongside the copied world by Panaxeth (135 loops)	clone	1 to 135
{15} Oran Skarna		Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	1 to 15
{15} Taiven		Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	1 to 15
{15} Urik Kreshna		Presumably murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	1 to 15
{2+} Zach Noveda	Zach Noveda	Simulacrums created to fight the Cult of the World Dragon and eventually dispelled by the original (plural)	clone	final
{2+} Zach Noveda	Zach Noveda	Simulacrums created to rob the Eldemar vault and eventually dispelled by the original (handful mentioned)	clone	120
{2+} Zorian Kazinski	Panaxeth	Simulacrums made to combat Panaxeth and eventually murdered or erased by it after the original exited the loop (plural)	clone	133
{2+} Zorian Kazinski	Zorian Kazinski	Simulacrums created to rob the Eldemar vault and eventually dispelled by the original (handful mentioned)	clone	120
{2+} Zorian Kazinski	Zorian Kazinski	Simulacrums sent to the Academy to attend class and dispelled by the original (plural)	clone	95 to 100
{2+} Zorian Kazinski	Zorian Kazinski	Simulacrums sent to the Academy, interacting with Akoja, and dispelled by the original (plural)	clone	102
{2+} Zorian Kazinski	Zorian Kazinski	Simulacrums sent to the Academy, interacting with Neolu, and dispelled by the original (plural)	clone	102
{2} Zach Noveda	Zach Noveda	Simulacrums created to assault the Ziggurat of the Sun and eventually dispelled by the original (3 mentioned minus casualties)	clone	120
{2} Zorian Kazinski	Panaxeth	Erased alongside the copied world by Panaxeth	clone	134 to 135
{2} Zorian Kazinski	Zorian Kazinski	Simulacrums created to assault the Ziggurat of the Sun and eventually dispelled by the original (3 mentioned minus casualties)	clone	120
{2} Zorian Kazinski	Zorian Kazinski	Simulacrums made to upgrade the golem frames and eventually dispelled by the original	clone	112
{3+} Quatach-Ichl	Quatach-Ichl	Simulacrums created to fight Zorian and eventually dispelled by the original (several mentioned)	clone	final
{3+} Zach Noveda	Zach Noveda	Simulacrums created and dispelled by the original (several mentioned)	clone	114 to 119
{3+} Zach Noveda	Zach Noveda	Simulacrums created to steal an airship and eventually dispelled by the original (several mentioned)	clone	120
{3+} Zorian Kazinski	Zorian Kazinski	Simulacrums created and dispelled by the original (several mentioned)	clone	95 to 100
{3+} Zorian Kazinski	Zorian Kazinski	Simulacrums created and eventually dispelled by the original (all mentioned)	clone	103
{3+} Zorian Kazinski	Zorian Kazinski	Simulacrums created to fight against the invaders and eventually dispelled by the original (several mentioned)	clone	final
{3+} Zorian Kazinski	Zorian Kazinski	Simulacrums made to work on mental enhancements and eventually dispelled by the original (several mentioned)	clone	127
