character	killed by	death	type	loop
{3+} Anixa Pravoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Aread	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Armie Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Azlyn Marivoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Batak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Benisek	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Briam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Bridge of Moonlight Connecting Ten Thousand Shores	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Buzzkill	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Byrn Ivarin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Carabiera Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Chassanah	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Cikan Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Circle of Fortune and Golden Dust	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Daimen Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Edwin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Elayer Inid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Elsie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Enthusiastic Seeker of Novelty	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Estin Grier	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Fang of Victory	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Fortov Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Frozen Thoughts Spanning Across Bottomless Chasms	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ghost	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ghost Serpent	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Glittering River of Stars	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Goliri Ardat	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Gurey Cwili	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Hammerer	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Haslush Ikzeteri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ibak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ibery Ambercomb	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ilinim Kam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ilsa Zileti	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Imaya Kuroshka	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Iroro	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Jade Witelsin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Dokochin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kael Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kalan	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kana Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kiana	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kilnfather	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kirielle Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kirithishli Korisova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kirma	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kopriva Reid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Krantin Keklos	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kylae Kuosi	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Kyron	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Lukav Teklo	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Geode	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Maya	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Memory of Sublime Glories	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Mind Like Fire	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Naim	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Neoluma-Manu Iljatir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Night Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Nirthak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Nochka Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Nora 	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Oganj	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Oran Skarna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Orinus	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Orissa Siqi Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Princess	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Quatach-Ichl	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Raynie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Rea Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Refuge in Void	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Sauh Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Seeker of the Eight Universal Paths	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} She Who Eats Fire and Sees Gold	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Silver One	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Silverlake	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Spear of Resolve Striking Straight at the Heart of the Matter	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Stonechild	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Storm Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Sudomir Kandrei	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Taiven	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Tesen Zveri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Tinami Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Torun	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Ulanna Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Urik Kreshna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Vani	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Vatimah Tinc	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Vazen	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Veil	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Veyers Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Violeteye	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Voice of Peace	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Watchful Eyes That Miss Nothing of Importance	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Xvim Chao	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Zenomir Olgai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Zoltan House Heir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
<1,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned, 500 thousand times 3 loops)	clone | non-canon	Predator - 1 to 3
<150,000,000+> Altazia inhabitants	Panaxeth	Erased alongside the copied world by Panaxeth (population of at least 50 millions stated by author, 50 millions times 3 loops)	clone | non-canon	Predator - 1 to 3


Zach Noveda	Quatach-Ichl	Soulkilled when Zorian gets his Marker through Quatach-Ichl's Soul Meld	non-canon	Stranger - 1


